Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.59     0.00   452577     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<Edge*> > >::construct<Edge*, Edge* const&>(std::allocator<std::_Rb_tree_node<Edge*> >&, Edge**, Edge* const&)
  0.00      0.59     0.00   452577     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_get_node()
  0.00      0.59     0.00   452577     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_put_node(std::_Rb_tree_node<Edge*>*)
  0.00      0.59     0.00   452577     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_drop_node(std::_Rb_tree_node<Edge*>*)
  0.00      0.59     0.00   452577     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_destroy_node(std::_Rb_tree_node<Edge*>*)
  0.00      0.59     0.00   452577     0.00     0.00  void std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_construct_node<Edge* const&>(std::_Rb_tree_node<Edge*>*, Edge* const&)
  0.00      0.59     0.00   446977     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.59     0.00   425887     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.59     0.00   409939     0.00     0.00  bool __gnu_cxx::operator!=<Edge**, std::vector<Edge*, std::allocator<Edge*> > >(__gnu_cxx::__normal_iterator<Edge**, std::vector<Edge*, std::allocator<Edge*> > > const&, __gnu_cxx::__normal_iterator<Edge**, std::vector<Edge*, std::allocator<Edge*> > > const&)
  0.00      0.59     0.00   409077     0.00     0.00  __gnu_cxx::__normal_iterator<Edge**, std::vector<Edge*, std::allocator<Edge*> > >::operator*() const
  0.00      0.59     0.00   370177     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.59     0.00   369727     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(int&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      0.59     0.00   349780     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_M_ptr() const
  0.00      0.59     0.00   349780     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_M_addr() const
  0.00      0.59     0.00   349780     0.00     0.00  std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::operator()(std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > const&) const
  0.00      0.59     0.00   349780     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_M_valptr() const
  0.00      0.59     0.00   349278     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::_S_key(std::_Rb_tree_node<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > const*)
  0.00      0.59     0.00   348802     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.59     0.00   348802     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.59     0.00   348802     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  0.00      0.59     0.00   292170     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00      0.59     0.00   292170     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.00      0.59     0.00   292170     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.00      0.59     0.00   292170     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00      0.59     0.00   292170     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00      0.59     0.00   283102     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.59     0.00   266205     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.59     0.00   266205     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.59     0.00   266205     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.59     0.00   256206     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_begin()
  0.00      0.59     0.00   254844     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::_M_end()
